type,length,start,end,net_pl
win,16,2019-09-09,2020-09-21,1572.559629803049
loss,13,2020-09-29,2021-04-08,-276.69378389811305
loss,11,2021-08-27,2021-11-23,-224.02332418247403
loss,9,2017-04-25,2017-06-15,-169.41595838707565
win,9,2014-10-09,2015-08-10,367.8247540386781
loss,8,2022-08-18,2022-10-11,-210.99026027627335
loss,8,2021-12-22,2022-01-27,-173.7724644496358
win,8,2018-02-06,2018-08-24,398.4436091542433
loss,6,2018-10-02,2018-12-03,-129.7011635337452
loss,5,2019-03-13,2019-05-13,-118.83327289106569
win,4,2022-12-30,2022-12-30,150.43186234201426
win,4,2017-09-18,2017-09-18,155.233608643564
win,4,2022-07-28,2022-07-28,208.47266707221456
win,4,2019-02-28,2019-02-28,247.3185343012825
win,4,2016-03-14,2016-03-14,480.47779169857307
loss,3,2017-12-05,2017-12-20,-69.38983984795556
loss,3,2021-06-16,2021-08-04,-53.906649560005775
loss,3,2022-03-15,2022-04-21,-45.00063894301837
loss,3,2017-07-17,2017-07-17,-28.998700007575554
loss,2,2016-11-10,2017-03-16,-54.67128762433431
loss,2,2015-12-04,2016-01-14,-51.288361361696566
loss,2,2014-07-14,2014-07-14,-45.34416671137906
win,2,2022-03-15,2022-03-15,20.196985270158546
win,2,2021-08-27,2021-08-27,27.15163912509351
loss,1,2021-06-16,2021-06-16,-1.877915540260682
win,1,2021-12-22,2021-12-22,4.290000000000037
win,1,2021-06-16,2021-06-16,7.57973108442855
win,1,2017-04-25,2017-04-25,8.5400000000001
win,1,2017-07-17,2017-07-17,8.860000000000037
win,1,2021-06-16,2021-06-16,16.506000000000054
