symbol,direction,entry_time,exit_time,entry_price,exit_price,lots,stop_price,pyramid_index,exit_reason,gross_pl,commission,net_pl
XAUUSD.var,long,2014-07-10,2014-07-14,1336.3303125167672,1311.856145805388,0.01,1312.106145805388,1,stop,-24.474166711379212,0.1,-24.574166711379213
XAUUSD.var,long,2014-06-30,2014-07-14,1327.34,1306.67,0.01,1302.760580061737,0,channel_exit,-20.669999999999845,0.1,-20.769999999999847
XAUUSD.var,short,2014-08-21,2014-10-09,1276.21,1224.32,0.01,1300.2770901296126,0,channel_exit,51.8900000000001,0.1,51.7900000000001
XAUUSD.var,short,2014-09-02,2014-10-09,1267.6339106902294,1224.32,0.01,1290.753482182951,1,channel_exit,43.31391069022948,0.1,43.213910690229476
XAUUSD.var,short,2014-09-05,2014-10-09,1258.7276770557648,1224.32,0.01,1282.727633414337,2,channel_exit,34.40767705576491,0.1,34.307677055764906
XAUUSD.var,short,2014-09-09,2014-10-09,1249.9082587434157,1224.32,0.01,1273.6767075763466,3,channel_exit,25.588258743415736,0.1,25.488258743415734
XAUUSD.var,short,2014-10-29,2014-11-14,1211.49,1188.78,0.01,1236.2529385352916,0,channel_exit,22.710000000000036,0.1,22.610000000000035
XAUUSD.var,short,2015-07-17,2015-08-10,1138.8789380184992,1104.53,0.01,1162.2021795375288,3,channel_exit,34.34893801849921,0.1,34.24893801849921
XAUUSD.var,short,2015-07-08,2015-08-10,1147.5314035881352,1104.53,0.01,1172.3765032001304,2,channel_exit,43.00140358813519,0.1,42.90140358813519
XAUUSD.var,short,2015-07-07,2015-08-10,1156.7545659426335,1104.53,0.01,1181.0457234289443,1,channel_exit,52.2245659426335,0.1,52.124565942633495
XAUUSD.var,short,2015-07-02,2015-08-10,1165.77,1104.53,0.01,1190.0969815901483,0,channel_exit,61.24000000000001,0.1,61.14000000000001
XAUUSD.var,short,2015-11-27,2015-12-04,1057.79,1083.4266450635573,0.01,1083.1766450635573,0,stop,-25.63664506355735,0.1,-25.73664506355735
XAUUSD.var,long,2016-01-07,2016-01-14,1102.8868936118022,1077.435177313663,0.01,1077.685177313663,1,stop,-25.451716298139214,0.1,-25.551716298139215
XAUUSD.var,long,2016-01-06,2016-03-14,1093.53,1234.89,0.01,1068.9813512651165,0,channel_exit,141.36000000000013,0.1,141.26000000000013
XAUUSD.var,long,2016-01-26,2016-03-14,1112.3294068931502,1234.89,0.01,1086.8993714762219,1,channel_exit,122.56059310684986,0.1,122.46059310684987
XAUUSD.var,long,2016-01-27,2016-03-14,1121.792919510431,1234.89,0.01,1096.306885864349,2,channel_exit,113.0970804895692,0.1,112.9970804895692
XAUUSD.var,long,2016-02-03,2016-03-14,1131.0298818978463,1234.89,0.01,1106.1479821980718,3,channel_exit,103.86011810215383,0.1,103.76011810215384
XAUUSD.var,long,2016-11-01,2016-11-10,1288.39,1261.0582768917925,0.01,1261.3082768917925,0,stop,-27.3317231082076,0.1,-27.431723108207603
XAUUSD.var,short,2017-03-09,2017-03-16,1200.03,1227.1695645161267,0.01,1226.9195645161267,0,stop,-27.13956451612671,0.1,-27.239564516126713
XAUUSD.var,long,2017-03-27,2017-04-25,1254.51,1263.15,0.01,1228.4868734734666,0,channel_exit,8.6400000000001,0.1,8.5400000000001
XAUUSD.var,long,2017-04-07,2017-04-25,1263.7840406993666,1263.15,0.01,1238.8032655010554,1,channel_exit,-0.634040699366551,0.1,-0.734040699366551
XAUUSD.var,long,2017-04-11,2017-04-25,1273.331062430545,1263.15,0.01,1247.6223378140692,2,channel_exit,-10.181062430544898,0.1,-10.281062430544898
XAUUSD.var,long,2017-04-12,2017-04-25,1282.9523580751645,1263.15,0.01,1257.0455696895124,3,channel_exit,-19.80235807516442,0.1,-19.902358075164422
XAUUSD.var,short,2017-05-04,2017-05-17,1228.7880703530473,1254.7332160782546,0.01,1254.4832160782546,1,stop,-25.94514572520734,0.1,-26.04514572520734
XAUUSD.var,short,2017-05-09,2017-05-17,1219.335948109491,1245.0416074256407,0.01,1244.7916074256407,2,stop,-25.70565931614965,0.1,-25.80565931614965
XAUUSD.var,short,2017-05-03,2017-05-17,1238.33,1260.73,0.01,1263.7264691844289,0,channel_exit,-22.40000000000009,0.1,-22.500000000000092
XAUUSD.var,long,2017-06-06,2017-06-13,1285.879134552741,1260.9670887409513,0.01,1261.2170887409513,2,stop,-24.912045811789767,0.1,-25.01204581178977
XAUUSD.var,long,2017-06-02,2017-06-15,1276.72461737332,1251.598971044467,0.01,1251.848971044467,1,stop,-25.12564632885301,0.1,-25.22564632885301
XAUUSD.var,long,2017-05-26,2017-06-15,1267.49,1253.68,0.01,1242.5047292485765,0,channel_exit,-13.809999999999945,0.1,-13.909999999999945
XAUUSD.var,short,2017-06-19,2017-07-17,1243.02,1234.06,0.01,1268.3538812676277,0,channel_exit,8.960000000000036,0.1,8.860000000000037
XAUUSD.var,short,2017-07-03,2017-07-17,1233.6722428269588,1234.06,0.01,1258.8495952884018,1,channel_exit,-0.3877571730411091,0.1,-0.4877571730411091
XAUUSD.var,short,2017-07-04,2017-07-17,1224.5301235125698,1234.06,0.01,1249.1591083509406,2,channel_exit,-9.529876487430101,0.1,-9.629876487430101
XAUUSD.var,short,2017-07-07,2017-07-17,1215.2789336528956,1234.06,0.01,1240.1987732786938,3,channel_exit,-18.781066347104343,0.1,-18.881066347104344
XAUUSD.var,long,2017-08-10,2017-09-18,1281.3937271492098,1307.04,0.01,1257.2634872496965,3,channel_exit,25.646272850790186,0.1,25.546272850790185
XAUUSD.var,long,2017-08-01,2017-09-18,1272.4386371868923,1307.04,0.01,1249.0830100760693,2,channel_exit,34.6013628131077,0.1,34.5013628131077
XAUUSD.var,long,2017-07-21,2017-09-18,1254.92,1307.04,0.01,1231.0006781305976,0,channel_exit,52.11999999999989,0.1,52.01999999999989
XAUUSD.var,long,2017-07-27,2017-09-18,1263.7740270203337,1307.04,0.01,1239.9132882994438,1,channel_exit,43.26597297966623,0.1,43.16597297966623
XAUUSD.var,long,2017-11-17,2017-12-05,1294.39,1269.3704113221697,0.01,1269.6204113221697,0,stop,-25.019588677830374,0.1,-25.119588677830375
XAUUSD.var,short,2017-12-12,2017-12-18,1237.3386558112031,1262.1889069813283,0.01,1261.9389069813283,1,stop,-24.850251170125148,0.1,-24.95025117012515
XAUUSD.var,short,2017-12-07,2017-12-20,1246.47,1265.69,0.01,1271.8262996589883,0,channel_exit,-19.220000000000027,0.1,-19.32000000000003
