symbol,direction,entry_time,exit_time,entry_price,exit_price,lots,stop_price,pyramid_index,exit_reason,gross_pl,commission,net_pl
XAGUSD.var,long,2020-05-15,2020-09-21,16.16208198550719,24.684,0.47,15.205890685990415,1,channel_exit,400.53014668116214,4.699999999999999,395.83014668116215
XAUUSD.var,long,2019-05-31,2019-09-09,1305.48,1498.55,0.02,1286.9415017581418,0,channel_exit,386.1399999999999,0.2,385.9399999999999
XAUUSD.var,long,2019-06-03,2019-09-09,1313.7780314270424,1498.55,0.02,1294.165958097277,1,channel_exit,369.54393714591515,0.2,369.34393714591516
XAGUSD.var,long,2020-04-14,2020-09-21,15.763,24.684,0.36,14.5308274358924,0,channel_exit,321.15600000000006,3.6,317.55600000000004
XAUUSD.var,long,2016-02-01,2016-03-14,1128.805782423729,1234.89,0.02,1107.3556234350278,1,channel_exit,212.16843515254232,0.2,211.96843515254233
XAUUSD.var,long,2019-06-20,2019-09-09,1324.2541056734478,1498.55,0.01,1299.5599324318353,2,channel_exit,174.29589432655212,0.1,174.19589432655212
XAUUSD.var,long,2020-06-22,2020-08-11,1754.85,1912.91,0.01,1708.5709984747532,0,channel_exit,158.06000000000017,0.1,157.96000000000018
XAUUSD.var,long,2018-12-04,2019-02-28,1238.91,1312.95,0.02,1219.1673072061699,0,channel_exit,148.07999999999993,0.2,147.87999999999994
XAUUSD.var,long,2022-11-04,2022-12-30,1680.76,1823.8,0.01,1632.9217011221024,0,end_of_data,143.03999999999996,0.1,142.93999999999997
XAUUSD.var,long,2020-06-24,2020-08-11,1774.1949664828007,1912.91,0.01,1728.8067113562656,1,channel_exit,138.71503351719934,0.1,138.61503351719935
