type,length,start,end,net_pl
loss,18,2016-04-11,2016-11-10,-482.81183399522956
loss,15,2021-09-07,2021-12-16,-519.1155449364759
loss,10,2020-09-29,2021-02-02,-451.770171751826
loss,8,2015-03-31,2015-06-18,-192.7320478810009
loss,8,2015-08-26,2015-10-28,-167.12209072589692
loss,8,2017-04-25,2017-06-15,-160.47124602933079
win,8,2020-03-13,2020-09-21,1241.8087929887677
loss,7,2021-12-22,2022-01-27,-285.12195495415955
loss,7,2017-10-12,2017-12-20,-153.80590155177913
loss,6,2022-08-17,2022-09-12,-214.43188982823693
loss,6,2014-06-10,2014-08-06,-124.45985769904809
loss,6,2017-01-26,2017-03-16,-121.6200811247555
win,6,2015-01-29,2015-03-20,187.2700117254714
loss,5,2019-03-13,2019-05-13,-208.70822755936524
loss,5,2018-10-02,2018-12-03,-184.734276647834
loss,5,2014-04-08,2014-05-11,-93.25589563588937
win,5,2022-03-15,2022-03-15,166.99497756438507
loss,4,2021-07-06,2021-08-13,-143.32132989460538
loss,4,2019-09-23,2019-12-03,-114.24795517466069
loss,4,2014-11-14,2014-12-22,-85.43993612403088
win,4,2015-12-04,2015-12-04,177.0594254116423
win,4,2021-06-03,2021-06-16,256.6842704584749
win,4,2022-07-28,2022-07-28,350.92802533660335
win,4,2018-08-24,2018-08-24,379.72328869363116
win,4,2022-12-30,2022-12-30,449.1899795081156
loss,3,2018-02-14,2018-03-29,-77.13637720950106
loss,3,2014-10-29,2014-11-14,-72.67210280588489
win,3,2014-03-20,2014-03-20,73.078896828076
win,3,2022-10-03,2022-10-03,94.81853153906464
win,3,2016-12-29,2016-12-29,159.09475849816292
win,3,2018-02-06,2018-02-06,169.66655946520655
win,3,2016-03-14,2016-03-14,423.0128191741711
win,3,2019-09-09,2019-09-09,929.4798314724671
loss,2,2022-10-05,2022-10-10,-99.78443744537822
loss,2,2016-01-13,2016-01-14,-88.58813880778953
loss,2,2014-01-23,2014-01-30,-49.84041414742474
loss,2,2021-04-08,2021-04-08,-34.90599747466654
loss,2,2017-07-17,2017-07-17,-19.747510147901313
win,2,2021-03-17,2021-03-17,42.452132106315545
win,2,2021-08-27,2021-08-27,54.47878429910412
win,2,2014-10-09,2014-10-09,190.00782138045915
win,2,2017-09-18,2017-09-18,190.37194595933224
win,2,2015-08-10,2015-08-10,226.52913188526702
win,2,2019-02-28,2019-02-28,279.395459924334
loss,1,2022-04-21,2022-04-21,-49.15002046963939
loss,1,2021-07-02,2021-07-02,-27.587999999999912
loss,1,2017-01-26,2017-01-26,-15.715215521772826
win,1,2014-06-10,2014-06-10,4.4200000000002095
win,1,2017-01-26,2017-01-26,7.470000000000164
win,1,2017-04-25,2017-04-25,8.5400000000001
win,1,2021-12-22,2021-12-22,8.775000000000079
win,1,2017-07-17,2017-07-17,8.860000000000037
win,1,2014-11-14,2014-11-14,9.120000000000028
win,1,2021-07-06,2021-07-06,12.99999999999991
