type,length,start,end,net_pl
loss,15,2016-04-11,2016-11-10,-433.8554828246583
loss,13,2021-09-10,2021-12-16,-484.2731498640329
win,8,2020-03-13,2020-09-21,1217.7572785287155
loss,7,2020-10-09,2021-02-02,-344.1584631062368
loss,7,2021-12-22,2022-01-27,-296.778390806067
loss,7,2015-03-31,2015-06-18,-186.0206794804289
loss,6,2017-04-25,2017-06-15,-172.30243074032023
loss,6,2017-01-26,2017-03-20,-135.04630807616726
loss,6,2015-08-26,2015-10-28,-131.44162325584543
loss,5,2018-10-02,2018-12-03,-208.23242078487908
loss,5,2022-08-17,2022-09-12,-175.0584861908996
loss,5,2017-10-10,2017-12-20,-156.49019551351398
loss,5,2014-06-10,2014-08-06,-124.15804572090417
loss,4,2019-03-13,2019-05-13,-192.14466896403457
loss,4,2021-07-29,2021-08-27,-161.43251463489852
loss,4,2019-09-24,2019-12-03,-130.38552073550878
loss,4,2014-11-14,2014-12-22,-106.09244144409914
loss,4,2014-04-08,2014-05-11,-76.58859668480673
win,4,2022-03-15,2022-03-15,125.74254982559322
win,4,2015-01-29,2015-03-20,143.28678497160976
win,4,2021-06-03,2021-06-16,245.19527156459287
win,4,2022-07-28,2022-07-28,338.65470044880465
win,4,2022-12-30,2022-12-30,438.99497267748734
loss,3,2018-02-14,2018-04-23,-82.88873768923105
win,3,2016-12-29,2017-01-26,122.63926255129033
win,3,2015-12-04,2015-12-04,137.16444709868705
win,3,2014-03-20,2014-03-20,138.17802536298993
win,3,2018-08-24,2018-08-24,289.50944389585607
loss,2,2014-10-29,2014-10-29,-54.65834315315074
loss,2,2021-07-02,2021-07-06,-41.7622501110848
loss,2,2021-04-08,2021-04-08,-41.33532996622213
win,2,2022-10-03,2022-10-03,73.90549049604697
win,2,2018-02-06,2018-02-06,141.17804011940152
win,2,2014-10-09,2014-10-09,184.29042850727873
win,2,2017-09-18,2017-09-18,184.3017982151542
win,2,2015-08-10,2015-08-10,220.518842513689
win,2,2019-02-28,2019-02-28,273.94061323244534
win,2,2016-03-14,2016-03-14,514.9082482849327
win,2,2019-09-09,2019-09-09,749.7519161945535
loss,1,2022-10-11,2022-10-11,-56.20057872256593
loss,1,2022-04-21,2022-04-21,-55.335737679587886
loss,1,2016-01-13,2016-01-13,-51.10343259627843
loss,1,2014-01-30,2014-01-30,-29.316219239913927
loss,1,2017-07-17,2017-07-17,-7.207352461442679
win,1,2014-06-10,2014-06-10,4.4200000000002095
win,1,2017-04-25,2017-04-25,8.5400000000001
win,1,2021-12-22,2021-12-22,8.775000000000079
win,1,2017-07-17,2017-07-17,8.860000000000037
win,1,2014-11-14,2014-11-14,9.120000000000028
win,1,2021-07-06,2021-07-06,12.99999999999991
win,1,2021-03-17,2021-03-17,31.850000000000044
win,1,2021-08-27,2021-08-27,46.23000000000018
