entry_window,exit_window,atr_period,stop_atr_multiplier,pyramid_atr_interval,symbols_tested,combined_trade_count,combined_expectancy,combined_win_rate,combined_profit_factor,max_symbol_drawdown_pct,all_symbols_positive_expectancy,symbols_passing_gate,neighbor_count,neighbor_expectancy_median,isolated_peak_red_flag
15,8,20,1.5,0.5,"XAGUSD.var,XAUUSD.var",355,33.22771026171433,0.3436619718309859,1.3135991314866085,0.5217079270015308,True,0,4,26.465157250903726,False
15,8,20,2.0,0.75,"XAGUSD.var,XAUUSD.var",303,29.689642655467352,0.37293729372937295,1.2544061745585044,0.5483050441616995,True,0,4,25.406242965415064,False
15,8,20,1.5,0.75,"XAGUSD.var,XAUUSD.var",326,27.416913296920956,0.3312883435582822,1.2494215901613754,0.5225333848208269,True,0,3,29.689642655467352,False
15,8,20,1.5,0.25,"XAGUSD.var,XAUUSD.var",399,27.217653851732244,0.3408521303258145,1.26395261935673,0.5300784445760837,True,0,3,20.212711533861523,False
15,8,20,2.0,0.5,"XAGUSD.var,XAUUSD.var",335,25.712660650075208,0.3701492537313433,1.231908580061334,0.5450757467551969,True,0,5,20.212711533861523,False
15,8,20,2.5,0.75,"XAGUSD.var,XAUUSD.var",296,25.09982528075492,0.38513513513513514,1.2074335477648293,0.5639407568265238,True,0,4,20.81482267325456,False
15,8,20,3.0,0.75,"XAGUSD.var,XAUUSD.var",291,24.71202489455211,0.3917525773195876,1.1903540436543698,0.578647918441772,False,0,3,17.45271928770955,False
15,8,20,2.0,0.25,"XAGUSD.var,XAUUSD.var",375,20.212711533861523,0.36533333333333334,1.1787255167868818,0.5504389922535488,True,0,4,21.633478123038266,False
15,8,20,2.5,0.25,"XAGUSD.var,XAUUSD.var",366,17.55429559600132,0.36885245901639346,1.1514254709522493,0.5630752559606542,True,0,4,16.444486628675293,False
15,8,20,3.0,0.5,"XAGUSD.var,XAUUSD.var",322,17.45271928770955,0.38819875776397517,1.1455584803702654,0.5610838741471307,True,0,4,16.444486628675293,False
15,8,20,2.5,0.5,"XAGUSD.var,XAUUSD.var",329,16.917620451957017,0.3768996960486322,1.1494842605620084,0.5744583226579271,True,0,5,17.55429559600132,False
15,8,20,3.0,0.25,"XAGUSD.var,XAUUSD.var",362,15.971352805393568,0.3729281767955801,1.1333071203135228,0.5796986950559804,True,0,3,17.45271928770955,False
40,20,20,2.0,0.25,"XAGUSD.var,XAUUSD.var",202,13.982073071892602,0.38613861386138615,1.1326254049950626,0.5086129888280497,False,0,5,2.4249835368370705,True
40,20,20,2.0,0.75,"XAGUSD.var,XAUUSD.var",172,12.279923304705544,0.36046511627906974,1.111691829473611,0.47864512558024164,False,0,5,11.089862874240195,False
25,12,20,2.0,0.75,"XAGUSD.var,XAUUSD.var",230,11.455805491660573,0.3869565217391304,1.106334141796691,0.4987995889098885,True,0,5,10.051267335828474,False
40,20,20,1.5,0.75,"XAGUSD.var,XAUUSD.var",183,11.316075490165538,0.30601092896174864,1.1126982267547196,0.4821504636729146,False,0,4,8.94041354151964,False
20,10,20,2.0,0.25,"XAGUSD.var,XAUUSD.var",323,11.251096363664608,0.3560371517027864,1.1012841022253768,0.5521357418883654,True,0,5,4.107998557208755,True
40,20,20,2.0,0.5,"XAGUSD.var,XAUUSD.var",186,11.089862874240195,0.3817204301075269,1.1048524581736596,0.49771316227023304,False,0,6,4.880684376308455,True
20,10,20,2.0,0.75,"XAGUSD.var,XAUUSD.var",265,10.4270316502509,0.3660377358490566,1.0875138411079568,0.5358155862136421,True,0,5,8.053977364142952,False
40,20,20,1.5,0.25,"XAGUSD.var,XAUUSD.var",227,10.343435252370705,0.32599118942731276,1.1117716684244585,0.4928373283460162,False,0,4,8.928541423824928,False
25,12,20,1.5,0.75,"XAGUSD.var,XAUUSD.var",246,10.051267335828474,0.33739837398373984,1.1047443544265685,0.47710786254348153,True,0,4,9.685026427154245,False
25,12,20,1.5,0.25,"XAGUSD.var,XAUUSD.var",307,10.027523100439055,0.32247557003257327,1.1072850333909146,0.511345791225505,True,0,4,7.445669598663947,False
20,10,20,1.5,0.25,"XAGUSD.var,XAUUSD.var",351,9.49307004984916,0.32193732193732194,1.097155585735169,0.5174661188452403,True,0,4,10.639309732051832,False
20,10,20,1.5,0.75,"XAGUSD.var,XAUUSD.var",286,8.053977364142952,0.32517482517482516,1.0807887359939683,0.52601177910644,True,0,4,10.239149493039687,False
40,20,20,1.5,0.5,"XAGUSD.var,XAUUSD.var",205,7.829559747210803,0.3073170731707317,1.08101166534872,0.5031128254407985,False,0,5,10.343435252370705,False
40,20,20,2.5,0.75,"XAGUSD.var,XAUUSD.var",165,7.457930737285049,0.3939393939393939,1.0649978564418217,0.5081071332831117,False,0,5,1.9318090054061068,True
25,12,20,1.5,0.5,"XAGUSD.var,XAUUSD.var",278,5.398269147478733,0.3237410071942446,1.058000767442275,0.5081114164176355,False,0,5,7.829559747210803,False
20,10,20,1.5,0.5,"XAGUSD.var,XAUUSD.var",319,4.547818676705083,0.322884012539185,1.045821518130165,0.5552099169651422,True,0,5,8.053977364142952,False
25,12,20,3.0,0.75,"XAGUSD.var,XAUUSD.var",225,4.3531688950234635,0.4177777777777778,1.0363964525295195,0.5525522585044801,True,0,4,1.2774240732115352,True
20,10,20,2.0,0.5,"XAGUSD.var,XAUUSD.var",297,4.107998557208755,0.36363636363636365,1.0359477100821686,0.5471125900934932,True,0,6,7.487425163477992,False
20,10,20,2.5,0.25,"XAGUSD.var,XAUUSD.var",319,3.0635516115426493,0.3605015673981191,1.0273381052901247,0.6136321372106782,False,0,5,1.2074993277368484,True
25,12,20,2.0,0.25,"XAGUSD.var,XAUUSD.var",286,2.4249835368370705,0.35664335664335667,1.023471520426864,0.5605882756753813,False,0,5,10.027523100439055,False
20,10,20,2.5,0.75,"XAGUSD.var,XAUUSD.var",262,2.2221795451674713,0.37404580152671757,1.0182159286796224,0.554849225737928,True,0,5,2.199449159413791,False
25,12,20,2.5,0.75,"XAGUSD.var,XAUUSD.var",229,2.199449159413791,0.4017467248908297,1.0198963024811694,0.5374821320324021,False,0,5,4.3531688950234635,False
40,20,20,2.5,0.5,"XAGUSD.var,XAUUSD.var",180,1.9318090054061068,0.4,1.0167726884615047,0.5432987049935337,False,0,6,-3.836310239072199,True
20,10,20,3.0,0.75,"XAGUSD.var,XAUUSD.var",259,1.6603986159788204,0.3783783783783784,1.0131585868059179,0.5552860337617384,True,0,4,3.287674220095467,False
25,12,20,2.0,0.5,"XAGUSD.var,XAUUSD.var",261,1.2875288260427789,0.37547892720306514,1.0122862732361346,0.5457323763599196,False,0,6,4.753133852343744,False
20,10,20,3.0,0.25,"XAGUSD.var,XAUUSD.var",318,1.2074993277368484,0.36163522012578614,1.0106255527550543,0.6325669000333676,False,0,4,1.9036878488611553,False
40,20,20,3.0,0.75,"XAGUSD.var,XAUUSD.var",163,0.89444953044425,0.4110429447852761,1.0075069614867338,0.5210576729174607,False,0,4,-1.0752550264129415,True
20,10,20,3.0,0.5,"XAGUSD.var,XAUUSD.var",286,0.7438240861796613,0.3811188811188811,1.0063282400465825,0.5769737469761906,False,0,5,1.2074993277368484,False
20,10,20,2.5,0.5,"XAGUSD.var,XAUUSD.var",290,0.11912370208364619,0.3758620689655172,1.0010357744249747,0.5570515746695731,False,0,6,2.6428655783550603,False
25,12,20,3.0,0.25,"XAGUSD.var,XAUUSD.var",272,-0.6151245103471217,0.40808823529411764,0.9949831372406464,0.5834391356951208,False,0,4,-3.3965534527968977,False
25,12,20,2.5,0.5,"XAGUSD.var,XAUUSD.var",253,-1.1689415302950519,0.4031620553359684,0.9892661169714481,0.5802169590523494,False,0,6,0.7033262640632125,False
25,12,20,3.0,0.5,"XAGUSD.var,XAUUSD.var",248,-2.5078128315184682,0.42338709677419356,0.9789182986640802,0.5779886668116055,False,0,5,-0.6151245103471217,False
25,12,20,2.5,0.25,"XAGUSD.var,XAUUSD.var",279,-4.285294074075328,0.3835125448028674,0.9617297799010994,0.607443371831789,False,0,5,-0.6151245103471217,False
40,20,20,3.0,0.5,"XAGUSD.var,XAUUSD.var",179,-6.503678947849346,0.4134078212290503,0.9447016073845451,0.5666610586891636,False,0,5,-2.5078128315184682,False
40,20,20,3.0,0.25,"XAGUSD.var,XAUUSD.var",198,-6.9317975738788435,0.41414141414141414,0.9404545727329742,0.5905762196746384,False,0,4,-6.858216364067954,False
40,20,20,2.5,0.25,"XAGUSD.var,XAUUSD.var",200,-7.212753780286562,0.395,0.933553005663309,0.6219168907070365,False,0,5,-4.285294074075328,False
55,28,20,2.0,0.25,"XAGUSD.var,XAUUSD.var",165,-8.830623576340592,0.3393939393939394,0.9103787405140517,0.5428191412017341,False,0,5,-11.476192561518955,False
