type,length,start,end,net_pl
loss,17,2016-04-11,2016-11-10,-481.6766053530531
loss,16,2021-09-08,2021-12-22,-562.5249906038524
loss,11,2020-09-29,2021-04-08,-453.75118772790717
loss,8,2015-04-14,2015-06-18,-217.2980547211437
win,8,2020-03-13,2020-09-21,1241.8087929887677
loss,7,2017-04-25,2017-06-15,-164.27896411643178
loss,7,2015-09-04,2015-10-28,-155.79500461980223
loss,7,2017-01-26,2017-03-20,-150.8676092964551
loss,7,2014-04-08,2014-06-10,-117.86959363694262
loss,6,2022-01-06,2022-01-27,-279.81372386286506
loss,6,2022-08-17,2022-09-12,-225.0411643959184
loss,6,2017-10-13,2017-12-20,-184.30757867472934
loss,5,2019-03-13,2019-05-13,-237.66654578213138
loss,5,2018-10-02,2018-12-03,-198.46011264564538
loss,4,2021-07-06,2021-08-13,-161.56285022479025
loss,4,2019-09-24,2019-12-03,-125.66676979768968
loss,4,2014-07-14,2014-08-06,-116.09504868769568
loss,4,2018-02-14,2018-04-23,-112.39298168124802
win,4,2022-03-15,2022-03-15,141.08217216230784
win,4,2015-01-29,2015-03-20,151.13919962510235
win,4,2021-06-03,2021-06-16,256.6842704584749
win,4,2022-12-30,2022-12-30,449.6863988964151
loss,3,2014-11-14,2014-12-22,-83.71130671318866
loss,3,2014-10-29,2014-11-14,-66.51757760494938
win,3,2016-12-29,2017-01-26,127.23954938259769
win,3,2014-03-20,2014-03-20,135.5427128138035
win,3,2015-12-04,2015-12-04,148.05802965977927
win,3,2018-08-24,2018-08-24,299.752082921892
win,3,2016-03-14,2016-03-14,517.9776735964193
loss,2,2022-10-10,2022-10-11,-109.48669957287524
loss,2,2014-01-28,2014-01-30,-58.1706275178321
loss,2,2017-07-17,2017-07-17,-19.747510147901313
win,2,2021-08-27,2021-08-27,54.47878429910412
win,2,2022-10-03,2022-10-03,79.08192936268397
win,2,2018-02-06,2018-02-06,146.6135300895513
win,2,2014-10-09,2014-10-09,190.00782138045915
win,2,2017-09-18,2017-09-18,190.37194595933224
win,2,2015-08-10,2015-08-10,226.52913188526702
win,2,2022-07-28,2022-07-28,245.24735077689624
win,2,2019-02-28,2019-02-28,279.395459924334
win,2,2019-09-09,2019-09-09,755.283937145915
loss,1,2022-04-21,2022-04-21,-55.335737679587886
loss,1,2016-01-14,2016-01-14,-51.10343259627843
loss,1,2021-07-02,2021-07-02,-27.587999999999912
loss,1,2022-07-28,2022-07-28,-10.329608836870966
win,1,2014-06-10,2014-06-10,4.4200000000002095
win,1,2017-04-25,2017-04-25,8.5400000000001
win,1,2021-12-22,2021-12-22,8.775000000000079
win,1,2017-07-17,2017-07-17,8.860000000000037
win,1,2022-07-28,2022-07-28,9.039999999999873
win,1,2014-11-14,2014-11-14,9.120000000000028
win,1,2021-07-06,2021-07-06,12.99999999999991
