symbol,risk_per_unit_pct,risk_per_unit_percent,dollar_risk_per_unit_at_initial_equity,year,breakout_signals,valid_non_floored_signals,sub_min_lot_rejections,warmup_rejections,sub_min_lot_rejection_pct,initial_entries,pyramid_events,closed_trade_units
XAUUSD.var,0.005,0.5,5.0,2013,0,0,0,0,,0,0,0
XAUUSD.var,0.005,0.5,5.0,2014,51,0,50,1,0.9803921568627451,0,0,0
XAUUSD.var,0.005,0.5,5.0,2015,42,0,42,0,1.0,0,0,0
XAUUSD.var,0.005,0.5,5.0,2016,38,0,38,0,1.0,0,0,0
XAUUSD.var,0.005,0.5,5.0,2017,48,0,48,0,1.0,0,0,0
XAUUSD.var,0.005,0.5,5.0,2018,36,0,36,0,1.0,0,0,0
XAUUSD.var,0.005,0.5,5.0,2019,33,0,33,0,1.0,0,0,0
XAUUSD.var,0.005,0.5,5.0,2020,37,0,37,0,1.0,0,0,0
XAUUSD.var,0.005,0.5,5.0,2021,35,0,35,0,1.0,0,0,0
XAUUSD.var,0.005,0.5,5.0,2022,37,0,37,0,1.0,0,0,0
XAUUSD.var,0.0075,0.75,7.5,2013,0,0,0,0,,0,0,0
XAUUSD.var,0.0075,0.75,7.5,2014,51,0,50,1,0.9803921568627451,0,0,0
XAUUSD.var,0.0075,0.75,7.5,2015,42,0,42,0,1.0,0,0,0
XAUUSD.var,0.0075,0.75,7.5,2016,38,0,38,0,1.0,0,0,0
XAUUSD.var,0.0075,0.75,7.5,2017,48,0,48,0,1.0,0,0,0
XAUUSD.var,0.0075,0.75,7.5,2018,36,0,36,0,1.0,0,0,0
XAUUSD.var,0.0075,0.75,7.5,2019,33,0,33,0,1.0,0,0,0
XAUUSD.var,0.0075,0.75,7.5,2020,37,0,37,0,1.0,0,0,0
XAUUSD.var,0.0075,0.75,7.5,2021,35,0,35,0,1.0,0,0,0
XAUUSD.var,0.0075,0.75,7.5,2022,37,0,37,0,1.0,0,0,0
XAUUSD.var,0.01,1.0,10.0,2013,0,0,0,0,,0,0,0
XAUUSD.var,0.01,1.0,10.0,2014,51,0,50,1,0.9803921568627451,0,0,0
XAUUSD.var,0.01,1.0,10.0,2015,42,0,42,0,1.0,0,0,0
XAUUSD.var,0.01,1.0,10.0,2016,38,0,38,0,1.0,0,0,0
XAUUSD.var,0.01,1.0,10.0,2017,48,0,48,0,1.0,0,0,0
XAUUSD.var,0.01,1.0,10.0,2018,36,0,36,0,1.0,0,0,0
XAUUSD.var,0.01,1.0,10.0,2019,33,0,33,0,1.0,0,0,0
XAUUSD.var,0.01,1.0,10.0,2020,37,0,37,0,1.0,0,0,0
XAUUSD.var,0.01,1.0,10.0,2021,35,0,35,0,1.0,0,0,0
XAUUSD.var,0.01,1.0,10.0,2022,37,0,37,0,1.0,0,0,0
XAUUSD.var,0.0125,1.25,12.5,2013,0,0,0,0,,0,0,0
XAUUSD.var,0.0125,1.25,12.5,2014,51,11,39,1,0.7647058823529411,0,0,0
XAUUSD.var,0.0125,1.25,12.5,2015,42,3,39,0,0.9285714285714286,0,0,0
XAUUSD.var,0.0125,1.25,12.5,2016,38,4,34,0,0.8947368421052632,0,0,0
XAUUSD.var,0.0125,1.25,12.5,2017,48,20,28,0,0.5833333333333334,0,0,0
XAUUSD.var,0.0125,1.25,12.5,2018,36,27,9,0,0.25,0,0,0
XAUUSD.var,0.0125,1.25,12.5,2019,33,16,17,0,0.5151515151515151,0,0,0
XAUUSD.var,0.0125,1.25,12.5,2020,37,0,37,0,1.0,0,0,0
XAUUSD.var,0.0125,1.25,12.5,2021,35,0,35,0,1.0,0,0,0
XAUUSD.var,0.0125,1.25,12.5,2022,37,0,37,0,1.0,0,0,0
XAUUSD.var,0.015,1.5,15.0,2013,0,0,0,0,,0,0,0
XAUUSD.var,0.015,1.5,15.0,2014,51,35,15,1,0.29411764705882354,0,0,0
XAUUSD.var,0.015,1.5,15.0,2015,42,28,14,0,0.3333333333333333,0,0,0
XAUUSD.var,0.015,1.5,15.0,2016,38,11,27,0,0.7105263157894737,0,0,0
XAUUSD.var,0.015,1.5,15.0,2017,48,43,5,0,0.10416666666666667,0,0,0
XAUUSD.var,0.015,1.5,15.0,2018,36,36,0,0,0.0,0,0,0
XAUUSD.var,0.015,1.5,15.0,2019,33,21,12,0,0.36363636363636365,0,0,0
XAUUSD.var,0.015,1.5,15.0,2020,37,3,34,0,0.918918918918919,0,0,0
XAUUSD.var,0.015,1.5,15.0,2021,35,0,35,0,1.0,0,0,0
XAUUSD.var,0.015,1.5,15.0,2022,37,0,37,0,1.0,0,0,0
XAUUSD.var,0.02,2.0,20.0,2013,0,0,0,0,,0,0,0
XAUUSD.var,0.02,2.0,20.0,2014,51,48,2,1,0.0392156862745098,0,0,0
