date,open,high,low,close,atr,long_entry_level,short_entry_level,long_exit_level,short_exit_level,warmup_ready,long_entry_signal,short_entry_signal,entry_signal,audit_action,rejection_reason,raw_lots,capped_lots,stepped_lots,min_lot,max_lots_by_leverage,max_by_position,open_risk_at_min_lot,max_open_risk_dollars
2023-01-03,1827.4,1850.14,1823.66,1839.52,,,,,,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-04,1839.18,1865.08,1836.17,1854.46,,,,,,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-05,1854.25,1858.98,1824.86,1832.98,,,,,,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-06,1830.21,1870.01,1830.21,1866.38,,,,,,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-09,1866.64,1881.39,1866.28,1871.62,,,,,,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-10,1871.29,1880.71,1867.87,1877.1,,,,,,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-11,1876.39,1886.78,1866.83,1875.78,,,,,,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-12,1875.04,1901.53,1869.52,1897.3,,,,,,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-13,1895.98,1922.1,1892.23,1920.68,,,,1823.66,1901.53,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-16,1920.4,1929.13,1910.63,1914.71,,,,1824.86,1922.1,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-17,1915.12,1919.06,1903.5,1908.29,,,,1824.86,1929.13,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-18,1908.36,1925.85,1896.33,1903.85,,,,1830.21,1929.13,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-19,1904.51,1935.42,1900.88,1931.78,,,,1866.28,1929.13,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-20,1931.76,1937.49,1920.47,1926.89,,,,1866.83,1935.42,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-23,1925.67,1935.53,1911.3,1931.44,,,,1866.83,1937.49,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-24,1931.12,1942.73,1917.08,1937.16,,1937.49,1823.66,1869.52,1937.49,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-25,1937.09,1948.07,1919.8,1946.43,,1942.73,1824.86,1892.23,1942.73,False,True,False,True,rejected,ATR unavailable during warmup,,,,0.01,,,,100.0
2023-01-26,1946.44,1949.57,1918.55,1929.17,,1948.07,1824.86,1896.33,1948.07,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-27,1928.75,1935.04,1916.6,1928.05,,1949.57,1830.21,1896.33,1949.57,False,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-30,1928.11,1934.47,1920.26,1922.6,24.80250000000001,1949.57,1866.28,1896.33,1949.57,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-01-31,1922.68,1931.08,1900.64,1928.28,25.084375,1949.57,1866.83,1900.88,1949.57,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-02-01,1928.62,1954.57,1920.58,1950.15,25.529656250000002,1949.57,1866.83,1900.64,1949.57,True,True,False,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004896266474406602,0.004896266474406602,0.0,0.01,0.25639053406148243,10.0,51.05931250000003,100.0
2023-02-02,1950.27,1959.68,1911.27,1912.43,26.673673437500007,1954.57,1869.52,1900.64,1954.57,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-02-03,1911.79,1918.52,1861.38,1865.83,28.196989765625,1959.68,1892.23,1900.64,1959.68,True,False,True,True,rejected,volatility-adjusted position size floors below 0.01 minimum lot,0.004433097328438503,0.004433097328438503,0.0,0.01,0.2679772540906728,10.0,56.3939795312499,100.0
2023-02-06,1862.03,1881.21,1859.52,1867.58,27.87164027734375,1959.68,1861.38,1861.38,1959.68,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-02-07,1867.3,1884.28,1864.93,1872.0,27.445558263476556,1959.68,1859.52,1859.52,1959.68,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-02-08,1873.41,1886.54,1868.96,1875.66,26.952280350302726,1959.68,1859.52,1859.52,1959.68,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-02-09,1875.34,1890.18,1858.89,1861.11,27.169166332787587,1959.68,1859.52,1859.52,1959.68,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-02-10,1861.72,1872.2,1852.74,1865.33,26.78370801614821,1959.68,1858.89,1858.89,1959.68,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
2023-02-13,1864.89,1866.54,1850.38,1853.76,26.25252261534079,1959.68,1852.74,1852.74,1959.68,True,False,False,False,no_entry_signal,,,,,0.01,,,,100.0
